	tweet	class	prediction
11681	I'm so mother fucken sexy. I have no time to be a retard.	1	2
17087	RT @NotWorldStar: When you drop all your hoes for one person and y'all don't end up together http://t.co/lLViTXweMX	1	2
15035	RT @Chill__Nigga: I can't be in my twenties stressing over a bitch who playin games. I'm straight lol	1	1
9522	Fuck rebuild the tranny, I'm driving it like its been for the last 4 years till it finally goes out &#128514;&#128514;&#128514;	1	2
12437	Just got rich. Took a broke nigga bitch	1	1
19933	RT @leandr321: I can't never keep no bitch cause I put them hoze out	1	2
12813	Lmao the shovel video is pretty awesome, she went down like a ton of bricks lol. Gotta love honky riff raff savages. That is all.	2	1
20754	RT @wegomakeit: pussy pussy pussy i smell ya frum bout a mile away&#128564;	1	1
11272	"I told that little bitch ass nigga, ""do it look like I'm about to eat your gun charge?"" I'll slap you and your hoe ass lawyer."	1	2
16762	RT @MaryWCVB: Charlie Baker about to make his final election eve campaign stop- here at Swampscott High School. #wcvb #wcvbpoli http://t.co&#8230;	2	1
13749	Nobody gives me a trophy cause I'm old and colored #FavStarTweets&#160;	2	0
10198	How many #Yankees players have 3K hits? You have to put #DerekJeter in the conversation for Best Yankee Ever. His numbers demand it.	2	1
2805	@CaelanG15 that nigga was eating that hoe lol	1	0
3670	@JTrevorHowerton @HollyRFisher because it's hilarious how it makes teabaggers freak out. I'll do it again too.	1	1
6471	@joshkline1992 that's my nig nog	1	1
12322	Its wayyyyy more going on now than 2 have u pushing yo trash ass music right now	1	2
18486	RT @Women_Fit: Use what talent you possess: the woods would be very silent if no birds sang except those that sang best.	2	1
24445	how you insecure but a hoe? TF	1	1
4952	@SweetKixx u see a lame in that pic ofmine due to your infatuation with niggers. Im Hebrew i fite the children of satan in the streets	0	2
7145	@ryancruz_ brandy wanna b down ass bitches &#128533;	1	1
17476	RT @ReginaldSpears: If Hank Jr. was half the man his daddy was, he'd bitch-slap Brantly Gilbert for having his name in his mouth.	1	1
19443	RT @froxgawd: tf is a baby goal? bitch u gone have what you gone have. RT @missloloko: Baby goals &#128525;&#128525;&#128525;&#128525;&#128076;&#128175; http://t.co/bwldJEx8Qg	1	1
24229	"damn @liltwist @diplo @LilTunechi &amp; @chrisbrown #fire ""flowers for the ladies &amp; dick for the hoes"" lol http://t.co/4XKUFnZc"	1	1
2850	@CarlavanderWaal @Jaymaroley &amp; als je over Syrie tweet, volg @Partisangirl maar, zij komt er vandaan &amp; zal je precies uitleggen hoe of wat.	2	1
389	"""@rugbysocklad: Fit lads! Nice gear! http://t.co/ThnXX1lC1M"" these scally lads n trainers would get it"	2	2
23396	Why you gotta be such a hoe smh I ain't captain save a hoe !!	1	1
4076	@LouieVRee @TehReelHov dat bitch a tampon	1	2
17669	RT @ShayDMVsFinest: I know I got good pussy &#128133;	1	1
24898	retard.	1	1
5709	@asshole_king with pills that nig will last 4 years. Like magic j .That nig should hav died years ago. Y'all the first team to draft gay.	0	1
3329	"@Gertrude_Larue 
I is colored, Latino and some Jewish. When I move in, I don't ruin the neighborhood, I wipe it out!"	2	2
14713	RT @BigBootyProbs: Happy Valentine&#8217;s Day big booty bitches. &#10084;	1	2
9765	Good pussy change ya life! &#128514;&#128557;	1	2
672	#5WordsAfterSex is that all pussy bitch?	1	2
14930	RT @CallMeRenee_: &#8220;@1inkkofrosess: stupid ass toe dog dam&#8221;&#128514;&#128514; bitch you mad at your toe &#128553; dumb hoe yo toe aint wanna be stomped .	1	0
20671	RT @treszTHEbest: It's all they know RT @SMCo71: you bitches never gonna b happy following these social sites	1	1
8886	Dark skinned girls with blonde hair need to stop it. The only bitch that can rock that is Dijonay from The Proud Family.	1	1
13335	My dad just told @YourDudeFerg 's dad to text one of their friends and say hashtag pussy. Hahahaha I'm done	1	1
18065	RT @TheFatKidJames: @Von_VonRichter Bro fuck you for leaving! Lol no but have a great time up there and don't forgot about the bros back ho&#8230;	1	0
3431	@HarleyyyQuinn_ trash	2	1
2645	@BigCatCooke deserved victory! #Elite8 awaits your #Orange army. #Sweet16 was no disgrace #collegehoops ill be back next time #hoosiers	2	0
19272	RT @datnigga_laced: Never invest money into a broke bitch ..	1	1
3739	@JefDaBest: The fact this bird ass nigga took my phone and did a light skin pose in school @Mrste617 smh lol http://t.co/Zd3vctXGXh	1	1
13371	My hoes they do drugzzz	1	1
14846	"RT @BrosConfessions: ""If you are nice girls, they will be bitches to you. If you are an asshole, girls will want your dick. #womanlogic"""	1	1
1976	&#8220;@truuuchains: If you already out of school, fuck you I hate you and I hope you trip on the stage at graduation hoe&#8221;	1	2
9094	Drake was singing that shit so bitches would buy NWTS...lmao. Nobody even remembers that album	1	0
4875	@SpecialEd24 gotta turn the hoe into housewife	1	2
320	"""@bigbootybishopp: @white_thunduh lassen cc , the coach wants me"" i feel it youll get more my nig no doubt"	0	2
14460	RT @Adrian1_knowsu: @0124jessi lml se pasa de shunsha &#128536;&#128536;and no mi joda w ur bitch waaa &#128514;&#128514;	1	1
25075	this bitch just said id suck your dick if it was legal to my cat	1	0
13728	No police department that hires gypsies, half-breeds, and nigglets should be trusted.	0	1
10445	I did anything for my bitch now these hoes only get hard dick nbs	1	2
8794	Cuh, this is our SCRUM&#9994; #FallSevens #DisTONGA #NiniWubbsMe We're finna smash some bitches&#128170;&#128079; #Rugby http://t.co/6VufVaO2ek	1	1
16102	RT @JaidTaylorLive: No &#9981;&#65039; for you hoes!	1	1
5670	@amandabynes i can give you some of my clothes so you can look like a cute dyke	0	2
4602	@REM_2014 I'm drunk that hoe by myself bro solo dolo	1	2
18716	"RT @_LastQueen_Bri: Everybody claim they fvck with ""bad bitches"" but all the ugly bitches getting pregnant&#128118;&#128118; 
.

.

.

.
Somebody lien&#128530;&#128530;"	1	1
22036	The lady talking about I have to sit in this seat and I have 3 hours to piss like bruh ! I already tried twice, I can't fucking pee bitch!	1	1
20264	RT @pattonoswalt: Who spotted the looming yellow crown on tonight's #TrueDetective? http://t.co/MUa60ppVeL	2	1
2621	@BasketballPics whoever made this twitter doesnt like the Lakers... they r making a comeback but this accnt still continues to trash talk em	2	1
8290	"Bitches be like ""Keep Calm I'm Single""........... first of all bitch, nobody was hype"	1	1
19326	RT @donnyoraha: Dont fucks with u hoe	1	1
7183	@sbsylvester @kieffer_jason bitch fuck that blog where u be at meet up and get your round	1	2
3350	@GirlThatsVonte i wont ima come piss in yours bitch	1	2
11943	If you hang with hoes, you're a hoe by association. If you try and debate this, you're a hoe. If you get offended by this, you're a hoe.&#128175;	1	1
13197	Momma always told me I was crazy , am the hoes say I'm amazing but I don't listen to a lady !	1	1
15794	RT @HakoSav: Bruh why am i always sooooooooooooooo tired but i never sleep i'm like a new species of retard no disrespect	1	2
13601	Nick Cannon movie.. &#171;@arigold_88 A 31 year old bitch in Texas was pretending to be 15 and went to high school 6 months!&#187;	1	2
16249	RT @Juicy_Squeaky: Any bitch who need a crowd to fight is clearly easily influenced &amp; weak minded &amp; most likely will commit suicide &#128514;&#128514;	0	1
6296	@iDoSexWell @MamiJuuki @Baddiies @AjukiWebster the nerve of these hoes	1	2
19240	RT @dabosss_: &#128056;&#9749;&#65039;&#8220;@100046729: #oomf lying knowing he don't be bored in Brusly fckn that bald head hoe.&#8221;	1	1
2639	@BetoDavidThomas @JesseCanon bitch my mom didn't call you	1	2
12902	"Lol Sam said ""Betty Boop"" is a hoe &#128514;"	1	1
9231	Every nigga tryna fuck the next nigga bitch but not knowing his bitch is the next nigga bitch	1	1
17112	RT @O3_Millz: &#8220;@1BookieG: @O3_Millz the last bitch I fucked was a mixed breed&#8221; &#128175;&#128175;&#128175;&#128514;&#128514;&#128514;	1	2
15296	RT @DarthVenn: So this is the woman who was a bird then turned into a woman from the sky in Nigeria. http://t.co/34DcwJkVeF	2	2
4212	@MickalaBickham barely a rhyme dumb bitch	1	0
15687	RT @Garnettujl: Hoes will be hoes.	1	1
9941	Has anyone ever purchased baseball field dirt? I really want dirt from @Yankees Stadium for my grandfather's grave. #weirdtweets	2	1
14120	People are such bitches!!! Complaining over stupid things!	1	1
11175	I smoke a lot of weed to keep them bitches of ma mind	1	1
13387	My mama made me some brownies they was everything &#128553;	2	2
10318	I be like... bitch please. lol http://t.co/PNVmaacWY0	1	0
7568	@yoIorosa -the base) and would mean it would hurt like a bitch to have one broken off.	1	1
22193	These bitches is wild	1	1
22200	These bitches really be out here on backpage hoe-ing &#128557;&#128557;&#128557; watch yo bitch she could be on there !	1	2
24577	ima boss ass bitch bitch bitch	1	2
16089	RT @J_Kwest: @HarveyWordman is lupe fiascos retarded illegitimate son	1	1
5598	@_travvv's pussy. http://t.co/aXm9PCw95T	1	1
1304	"&#8220;@GdoubleT: @BrianMC630 find a loyal ho&#8221;

@finntasticccc &#128521;"	1	1
8121	Bad Asian bitch yea she look just like Kemora	1	1
19960	RT @lildurk_: How you wife dat bitch 2many niggas fucked from my clique 2many niggas actin so rich all dese boppin hoes on my dick #Maserati	1	1
15766	RT @HBCUfessions: All these hoes want is sum Good Dick &amp; attention -All HBCU	1	0
14519	RT @AnAbsurdBird: I just realised my library books are overdue if anyone's looking for a bad bitch	1	2
20584	RT @the_ironsheik: hello @TheBatman you are now official big time pussy	1	2
3055	@DavetheBrave1 come over hoe	1	1
14173	Photo: Seriously &#8230; All my friends are hoes. It&#8217;s so funny. #getyourlife &#128078; http://t.co/nbnBGYCFMI	1	2
20841	RT @yaboybillnye: u a 10? on the pH scale maybe cause you basic hoe	1	0
19144	"RT @causeweregirls: Bae: ""Go talk to your hoes""

Me: http://t.co/kKk5pSBv9F"	1	1
20716	RT @vackra_lognn: I don't know why I go on that pancake face bitchs twitter. She gets me tight every time	1	1
2741	@BrendanSchaub @TimTebow ugh your with Tebow? You're officially a fag now and in followed.	1	1
18959	RT @almostkanye: RT @Resolutionary_: if Crabtree woulda caught that over Sherman for the game y'all woulda said Sherman trash &amp; he got what&#8230;	2	1
3959	@KoiyaThePerv exactly so tweet some other shit fuck all that don't be like everybody this ain't monkey see monkey do koiya	1	1
21913	That's like saying I've had the pinto since 72 RT @Shallow__Al @TonyClevenger dude I've had an iPhone since the beginning.	2	1
17898	RT @Swizzzy: I know she a hoe if she believe in astrology.. Ima make a sign for that.	1	2
8724	Cleveland is the best team for manziel honestly the OC can use the offense he had with the redskins &amp; the browns D is nice wit a def HC	2	2
19414	"RT @fart: i just found out that ""marehood"" is code for ""horse pussy"" #brony #mlp http://t.co/ycQTmM3lid"	1	1
12321	Its uno shawty id drop my imaginary hoes 4	1	1
15371	"RT @Doestaxxx: Stop fuckin jail birds. RT""@__BRAT_: Niggas that's that serious about ass play scare me. That shit so sus"""	1	1
19700	RT @it_itt: @docrocktex26 doing nothing as an agenda. unbelievable that the Dems failed to use that against the teabaggers. @AfricanPrinces&#8230;	2	2
1956	&#8220;@tay_torrez &amp; wealthy? RT @DrTruth247: My aunt said I'm handsome fuck you hoes&#8221;broke	1	1
19586	RT @iDntWearCondoms: Stop stalkin your girl social media u bitch ass nigga	0	2
14588	RT @Ay30Mayne: This next generation is being raised to be a bunch of mindless pussies with no discipline.	1	1
8824	DEREK JETER clap clap clapclapclap #Yankees	2	1
1890	&#8220;@mckinley719: If you're going to talk shit about my sister. Don't play no pussy shit. Say it to her face yo! #JustSaying!&#8221; #slapAbitch &#128075;	1	2
5644	@alesiahenderson wat a faggot	1	0
13591	Niccas be gassing hoes they never gone pop .. Smh ... Prolly never gone meet her! #WastedEnergy	1	0
11882	If these hoes ain't lying about being fat they hiding a backpage profile some where...	1	2
17339	"RT @Princessofwifi: ""Stop being such a bitch""
Me: http://t.co/RGg9IduVsi"	1	1
4791	@SchulzGrayson @Dswizzle3 and i dont have a mom bitch ass nigga u better shut your fucking mouth before i do it for you with duck ass	1	1
5688	@aravosis May I jump in u ball-less dick-wad? As a conservative, feminist, disabled vet bitch, I wish u luck with a capital F. @DLoesch	0	1
4692	@RobinColdiron those god damn bitches smh run away!!!	1	0
19632	RT @i_EaT_PIE: Dame the type of bitch that go to jail to meet men &#128514;&#128514;&#128514; http://t.co/ZWtTSb9cc1	1	1
19660	"RT @igbanamibani: &#8220;@DevJayAintShit: these hoes ain't loyal &#128557;

https://t.co/TSb0xljRNy&#8221;lol"	1	1
24282	eagles are fucking cunts http://t.co/nK2CO0snNv	1	0
7473	@vodkapapixo alot of these bitches themselves aint shit either....birds of a feather flock together	1	1
4596	@RAEPaelMunturo @WorldStarFunny aye sae en feeld kawkin dyke	1	2
6945	@negrorayrice @FuckTheMallcops I'll continue dis later. I'll be back bitch.	1	1
20426	"RT @schoolfession: ""My ex girlfriends telling people I sell pills and coke. Retweet if she's a bitch."" - Durant HS"	1	1
9990	He don't even follow his bitch &#128514;	1	2
20885	RT @zakkmcdaniel: You need to at least not be a bitch 12/7 to date me	1	1
7478	@wbpictures no, i do not wish to spend $40+ to go to a filthy theatre and watch a fuzzy screen with bad sound. #ANNABELLE	2	2
23229	When you colored every day is Sunday	2	1
24806	o unpunished. This has been the view for many thousands of years in civilised and uncivilised society.	2	1
17908	RT @TAXSTONE: Niggaz like all them naked bitches on IG pics NIGGAZ DONT LOVE EM	0	1
15099	RT @ColeFlexXx: Fingering N eating the pussy at the same time is good &#128203;&#128221;	1	2
15775	RT @HBCUfessions: track girls have the best pussy!!! - Bethune-Cookman	1	1
17255	RT @Papi_Chulo25: The fact that all y'all hoes gettin pregnant wit no ring on ya finger &#128514;&#128514;&#128514;&#128514;&#128514;&#128514;	1	2
2855	@CassiusClay_232 I know bro nigga seen a 7'1 African playing Guard and was handling the hoe	1	2
8007	"Any solution to ZOG which doesn't deal with demographics - only laws - is no solution.
#NorthwestImperative
http://t.co/Vhy5s2apCn"	2	1
230	"""@SamJLayman : Holy shit, Freddie Highmore was in Charlie and the Chocolate Factory""
Me: *rolls on the floor, laughing*"	1	2
5152	@TinnyTimm taylor wack ass bitch nigga	1	1
23066	What a hoe lol	1	2
9373	First of all you my type of bitch	1	2
15933	"RT @IKeepitRealer: ChrisBrown a bitch 4 hittin a Woman
JayZ a bitch 4 lettin a woman hit him
bitches needa make up ya mind &#128134;
Yah want yah a&#8230;"	1	1
20009	RT @lonlontheone_15: Smoke sum bitch	1	1
9860	HBA trash	2	2
13156	"Met this bitch online. Call her my ""e-bae"""	1	1
22319	These women ain't shit but hoes w/ tricks , baby boy I'm different &#10084;&#65039;	1	1
15556	RT @Fitcchh: White girls that talk ghetto&lt;&lt;&lt; you're not cute&#128514;	1	2
8874	Damn this bitch nasty lol	1	1
18353	RT @UrbanCraziness: when you see a bitch nigga subtweet you http://t.co/vvhEhwDRWf	1	0
18142	RT @TheVoiceOfMiami: When you start liking a hoe you don't really like because she gives you the pussy on a consistent basis...	1	1
10863	I just herd the most random and. Creepiest sound.... Da fuck is going on outside my windows... I'm not looking out that bitch.	1	2
18241	RT @TrendingTopiic: Fat hoes. Belly shirts. Die now.	1	1
18566	RT @Yankees: VICTORY! #Yankees outlast A's, 10-9 in 14 innings. Eduardo Nunez the hero, and oh yeah, FIRST PLACE still resides in the Bronx.	2	2
6316	@iamSHIRAQ ion have a FB, niggas on twitter ain't worried about me, &amp; them IG nigga foe EVERYBODY so try again &#128514; my BFFL got the hoes	1	2
16079	RT @JManziel2: &#8220;@RealZachK0enn: @JManziel2 You're a faggot&#8221;you're a Texas fan...	0	2
15372	RT @DogBountyHunter: @WarMachine170 Hey Boy This half breed Chiricahua Apache is on YOUR ASS #Eatmytazer !!	1	1
643	"""don't let your side bitch settle in, I might have to headbutt you Evelyn"""	1	1
314	"""@ambitiousBree: @_1nonlykeisha u see the damn phone ringing? &#128547;&#128530;&#128542;"" when you married bitches makes demands!!!! You haven't called me"	1	1
7972	And since im gino marley my bitch just flew from Japan	1	2
23452	Woot! RT @Yankees: #Yankees completed their sixth series sweep of the season and fourth at home.	2	1
4346	@NTXProgressive Yeah..cause if anyone thinks this clown went to @target to buy Oreos is as stupid as all of them look	2	1
14959	"RT @CauseWereGuys: Call a girl a ""bitch"" and she'll get offended but if u put ""bad"" in front she'll swear she's a queen"	1	1
7966	And my mom was really getting me a car smh hoe f u for dat	1	2
9793	Got damn the Lakers trash....	2	2
879	#porn,#android,#iphone,#ipad,#sex,#xxx, | #Anal | Hardcore british queer anal pounding http://t.co/lRuEixMy21	1	1
12429	Just cleaned this bitch. #BoyfriendsTruck #Clean #InsideAndOut #Ram1500 #TookForever #NoFliter&#8230; http://t.co/Bvb0LRisHY	1	1
21210	She talkin shit???? That bitch look like a Linebacker! #messinwithsasquach	1	1
9925	Happy birthday fag @collin_geer love ya	1	1
8153	Bae gotta bitch &#128514; whoops &#128564;	1	1
15475	RT @EnxadasFelipe: No bitch I wanna roll a fucking blunt	1	0
3199	@EmmaLouisaSuttl @timmyn90 Anyone bring in a monkey.	2	1
24923	shit i wanna know if my bitch gone protect me &#128514;	1	1
8760	Cool, fun thing to ponder: the myriad of space trash traveling at thousands of miles per hour right above you &#8594; http://t.co/L7zmXIyVQy	2	1
15234	"RT @DJsir_freshley: &#127919;&#127919;&#127919;RT @GuruJeremy Bitches are only ""moral"" when it comes to sex... when it's convenient for them. Otherwise they hoe th&#8230;"	1	2
23297	"Who the fuck still plays flappy bird? &#128514;

&#8220;@loren_travis: Flappy bird feels like http://t.co/OQ3jnn7fwO&#8221;"	1	2
11578	I'm hands on when its time ta murk a bitch	1	2
1216	&#8220;@CiscoAllDay: If you have a different dude every other week you might be a hoe... #js&#8221;no your not don't listen to him ladies #DoU	1	2
15361	RT @Dipset_Kenn: RT @ToneThaMan55: RT @PAPER_CHAYSIN: I love money fuc a bitch I won't stress myself , and I keep my mouth closed cuz I can&#8230;	1	1
11412	I would commit the rest of my gay life to being a complete 100% submissive bottom if I could be Zac Efron's bitch. #NoShame #gayboyproblems	1	2
24129	bitch made, dudes actin bitch made	1	1
10090	Highhhhh watching dawn of planet of the apes #StonerNation #LifeComplete	2	1
10766	I hate when a bitch got fucked up teeth and she trynna smile in her pictures tf lmfao	1	1
5130	@The_Red_Sea and stop covering yo goddamn face like the kkk. Yo yung silly ass co signing for pussy.	1	1
10557	I feel bad for her nicca tho ... Ya girl a hoe my nicca!	1	1
